Date,Adj Close,Close,High,Low,Open,Volume,RBI Repo Rate,NiftyPctChange,SnpYesterdayPctChange
2013-10-30,6251.7001953125,6251.7001953125,6269.2001953125,6222.60009765625,6230.7998046875,177600,7.8,1,1.0
2013-10-31,6299.14990234375,6299.14990234375,6309.0498046875,6235.89990234375,6237.14990234375,239600,7.8,1,0.0
2013-11-01,6307.2001953125,6307.2001953125,6332.60009765625,6286.9501953125,6289.75,191600,7.8,1,0.0
2013-11-05,6253.14990234375,6253.14990234375,6304.75,6244.2998046875,6282.14990234375,181100,7.8,0,1.0
2013-11-06,6215.14990234375,6215.14990234375,6269.7001953125,6208.7001953125,6260.5498046875,157100,7.8,0,0.0
2013-11-07,6187.25,6187.25,6288.9501953125,6180.7998046875,6228.89990234375,168800,7.8,0,1.0
2013-11-08,6140.75,6140.75,6185.14990234375,6120.9501953125,6170.14990234375,150100,7.8,0,0.0
2013-11-11,6078.7998046875,6078.7998046875,6141.64990234375,6067.75,6110.39990234375,146100,7.8,0,1.0
2013-11-12,6018.0498046875,6018.0498046875,6108.7001953125,6011.75,6087.25,153800,7.8,0,1.0
2013-11-13,5989.60009765625,5989.60009765625,6042.25,5972.4501953125,5998.85009765625,162500,7.8,0,0.0
2013-11-14,6056.14990234375,6056.14990234375,6101.64990234375,6036.64990234375,6037.0,154900,7.8,1,1.0
2013-11-18,6189.0,6189.0,6196.7998046875,6110.39990234375,6111.0498046875,164000,7.8,1,1.0
2013-11-19,6203.35009765625,6203.35009765625,6212.39990234375,6180.2001953125,6197.25,161500,7.8,1,0.0
2013-11-20,6122.89990234375,6122.89990234375,6204.35009765625,6106.9501953125,6186.85009765625,155800,7.8,0,0.0
2013-11-21,5999.0498046875,5999.0498046875,6097.35009765625,5985.39990234375,6096.5,137200,7.8,0,0.0
2013-11-22,5995.4501953125,5995.4501953125,6049.60009765625,5972.7998046875,6027.35009765625,134800,7.8,0,1.0
2013-11-25,6115.35009765625,6115.35009765625,6123.5,6035.9501953125,6035.9501953125,127200,7.8,1,1.0
2013-11-26,6059.10009765625,6059.10009765625,6112.7001953125,6047.75,6099.25,150700,7.8,0,0.0
2013-11-27,6057.10009765625,6057.10009765625,6074.0,6030.2998046875,6062.7001953125,124900,7.8,0,0.0
2013-11-29,6176.10009765625,6176.10009765625,6182.5,6103.7998046875,6103.89990234375,190700,7.8,1,1.0
2013-12-02,6217.85009765625,6217.85009765625,6228.7001953125,6171.14990234375,6171.14990234375,145900,7.8,1,0.0
2013-12-03,6201.85009765625,6201.85009765625,6225.39990234375,6191.39990234375,6204.25,156900,7.8,0,0.0
2013-12-04,6160.9501953125,6160.9501953125,6209.14990234375,6149.89990234375,6187.9501953125,186200,7.8,0,0.0
2013-12-05,6241.10009765625,6241.10009765625,6300.5498046875,6232.0,6262.4501953125,186100,7.8,0,0.0
2013-12-06,6259.89990234375,6259.89990234375,6275.35009765625,6230.75,6234.39990234375,158500,7.8,1,0.0
2013-12-09,6363.89990234375,6363.89990234375,6415.25,6345.0,6415.0,198300,7.8,0,1.0
2013-12-10,6332.85009765625,6332.85009765625,6362.25,6307.5498046875,6354.7001953125,242400,7.8,0,1.0
2013-12-11,6307.89990234375,6307.89990234375,6326.60009765625,6280.25,6307.2001953125,148200,7.8,1,0.0
2013-12-12,6237.0498046875,6237.0498046875,6286.85009765625,6230.5498046875,6276.75,148500,7.8,0,0.0
2013-12-13,6168.39990234375,6168.39990234375,6208.60009765625,6161.39990234375,6201.2998046875,169700,7.8,0,0.0
2013-12-16,6154.7001953125,6154.7001953125,6183.25,6146.0498046875,6168.35009765625,146500,7.8,0,0.0
2013-12-17,6139.0498046875,6139.0498046875,6190.5498046875,6133.0,6178.2001953125,154200,7.8,0,1.0
2013-12-18,6217.14990234375,6217.14990234375,6236.0,6129.9501953125,6129.9501953125,243300,7.8,1,0.0
2013-12-19,6166.64990234375,6166.64990234375,6263.75,6150.7001953125,6253.89990234375,437000,7.8,0,1.0
2013-12-20,6274.25,6274.25,6284.5,6170.35009765625,6179.9501953125,172000,7.8,1,1.0
2013-12-23,6284.5,6284.5,6317.5,6266.9501953125,6267.2001953125,131200,7.8,1,1.0
2013-12-24,6268.39990234375,6268.39990234375,6301.5,6262.0,6296.4501953125,107600,7.8,0,1.0
2013-12-26,6278.89990234375,6278.89990234375,6302.75,6259.4501953125,6270.10009765625,182300,7.8,1,1.0
2013-12-27,6313.7998046875,6313.7998046875,6324.89990234375,6289.39990234375,6292.7998046875,96900,7.8,1,1.0
2013-12-30,6291.10009765625,6291.10009765625,6344.0498046875,6273.14990234375,6336.39990234375,101300,7.8,0,0.0
2013-12-31,6304.0,6304.0,6317.2998046875,6287.2998046875,6307.35009765625,103400,7.8,0,0.0
2014-01-02,6221.14990234375,6221.14990234375,6358.2998046875,6211.2998046875,6301.25,158100,7.8,0,1.0
2014-01-03,6211.14990234375,6211.14990234375,6221.7001953125,6171.25,6194.5498046875,139000,7.8,1,0.0
2014-01-06,6191.4501953125,6191.4501953125,6224.7001953125,6170.25,6220.85009765625,118300,7.8,0,0.0
2014-01-07,6162.25,6162.25,6221.5,6144.75,6203.89990234375,138600,7.8,0,0.0
2014-01-08,6174.60009765625,6174.60009765625,6192.10009765625,6160.35009765625,6178.0498046875,146900,7.8,0,1.0
2014-01-09,6168.35009765625,6168.35009765625,6188.0498046875,6148.25,6181.7001953125,150100,7.8,0,0.0
2014-01-10,6171.4501953125,6171.4501953125,6239.10009765625,6139.60009765625,6178.85009765625,159900,7.8,0,0.0
2014-01-13,6272.75,6272.75,6288.2001953125,6189.5498046875,6189.5498046875,135000,7.8,1,1.0
2014-01-14,6241.85009765625,6241.85009765625,6280.35009765625,6234.14990234375,6260.25,110200,7.8,0,0.0
2014-01-15,6320.89990234375,6320.89990234375,6325.2001953125,6265.2998046875,6265.9501953125,145900,7.8,1,1.0
